tr_id,tau,xi,y_sys,y_phase
0,0.000000,1.000000,1.000000,1.000000
0,0.010000,1.009950,0.989950,0.989950
0,0.020000,1.019799,0.979801,0.979801
0,0.030000,1.029546,0.969555,0.969555
0,0.040000,1.039189,0.959211,0.959211
0,0.050000,1.048729,0.948771,0.948771
0,0.060000,1.058165,0.938237,0.938237
0,0.070000,1.067494,0.927608,0.927608
0,0.080000,1.076716,0.916887,0.916887
0,0.090000,1.085831,0.906074,0.906074
0,0.100000,1.094838,0.895171,0.895171
0,0.110000,1.103734,0.884178,0.884178
0,0.120000,1.112521,0.873096,0.873096
0,0.130000,1.121196,0.861928,0.861928
0,0.140000,1.129759,0.850673,0.850673
0,0.150000,1.138209,0.839333,0.839333
0,0.160000,1.146545,0.827909,0.827909
0,0.170000,1.154767,0.816402,0.816402
0,0.180000,1.162873,0.804814,0.804814
0,0.190000,1.170863,0.793145,0.793145
0,0.200000,1.178736,0.781397,0.781397
0,0.210000,1.186491,0.769571,0.769571
0,0.220000,1.194127,0.757668,0.757668
0,0.230000,1.201644,0.745689,0.745689
0,0.240000,1.209041,0.733635,0.733635
0,0.250000,1.216316,0.721508,0.721508
0,0.260000,1.223471,0.709309,0.709309
0,0.270000,1.230502,0.697039,0.697039
0,0.280000,1.237411,0.684700,0.684700
0,0.290000,1.244196,0.672292,0.672292
0,0.300000,1.250857,0.659816,0.659816
0,0.310000,1.257392,0.647275,0.647275
0,0.320000,1.263802,0.634669,0.634669
0,0.330000,1.270085,0.621999,0.621999
0,0.340000,1.276242,0.609268,0.609268
0,0.350000,1.282271,0.596475,0.596475
0,0.360000,1.288171,0.583623,0.583623
0,0.370000,1.293943,0.570712,0.570712
0,0.380000,1.299585,0.557744,0.557744
0,0.390000,1.305097,0.544721,0.544721
0,0.400000,1.310479,0.531643,0.531643
0,0.410000,1.315730,0.518511,0.518511
0,0.420000,1.320849,0.505328,0.505328
0,0.430000,1.325837,0.492095,0.492095
0,0.440000,1.330691,0.478812,0.478812
0,0.450000,1.335413,0.465482,0.465482
0,0.460000,1.340001,0.452104,0.452104
0,0.470000,1.344455,0.438682,0.438682
0,0.480000,1.348774,0.425216,0.425216
0,0.490000,1.352959,0.411707,0.411707
0,0.500000,1.357008,0.398157,0.398157
0,0.510000,1.360922,0.384567,0.384567
0,0.520000,1.364699,0.370939,0.370939
0,0.530000,1.368340,0.357274,0.357274
0,0.540000,1.371845,0.343573,0.343573
0,0.550000,1.375212,0.329837,0.329837
0,0.560000,1.378441,0.316069,0.316069
0,0.570000,1.381533,0.302269,0.302269
0,0.580000,1.384487,0.288439,0.288439
0,0.590000,1.387302,0.274580,0.274580
0,0.600000,1.389978,0.260693,0.260693
0,0.610000,1.392515,0.246781,0.246781
0,0.620000,1.394914,0.232843,0.232843
0,0.630000,1.397172,0.218883,0.218883
0,0.640000,1.399291,0.204900,0.204900
0,0.650000,1.401270,0.190897,0.190897
0,0.660000,1.403109,0.176875,0.176875
0,0.670000,1.404808,0.162836,0.162836
0,0.680000,1.406366,0.148780,0.148780
0,0.690000,1.407783,0.134709,0.134709
0,0.700000,1.409060,0.120625,0.120624
0,0.710000,1.410196,0.106528,0.106528
0,0.720000,1.411190,0.092421,0.092421
0,0.730000,1.412044,0.078305,0.078304
0,0.740000,1.412756,0.064181,0.064179
0,0.750000,1.413328,0.050050,0.050048
0,0.760000,1.413757,0.035915,0.035909
0,0.770000,1.414046,0.021775,0.021757
0,0.780000,1.414193,0.007634,0.007548
0,0.790000,1.414199,-0.006508,0.006406
0,0.800000,1.414063,-0.020649,0.021601
0,0.810000,1.413786,-0.034789,0.035387
0,0.820000,1.413367,-0.048925,0.049356
0,0.830000,1.412807,-0.063056,0.063392
0,0.840000,1.412106,-0.077180,0.077456
0,0.850000,1.411264,-0.091297,0.091531
0,0.860000,1.410280,-0.105405,0.105608
0,0.870000,1.409155,-0.119502,0.119681
0,0.880000,1.407890,-0.133588,0.133748
0,0.890000,1.406484,-0.147660,0.147805
0,0.900000,1.404937,-0.161717,0.161849
0,0.910000,1.403249,-0.175758,0.175880
0,0.920000,1.401422,-0.189781,0.189894
0,0.930000,1.399454,-0.203786,0.203891
0,0.940000,1.397346,-0.217770,0.217868
